M,N,K,shape_class
8,256,1024,grid
8,256,2048,grid
8,256,4096,grid
8,257,8,fat
8,257,64,grid
8,257,96,grid
8,257,129,grid
8,257,192,grid
8,257,256,grid
8,257,4096,grid
8,264,8,fat
8,264,64,wide_output
8,289,8,fat
8,289,64,wide_output
8,320,8,fat
8,320,64,wide_output
8,352,8,fat
8,352,64,wide_output
8,364,807,random
8,383,8,fat
8,383,64,wide_output
8,384,1,grid
8,384,2,grid
8,384,8,grid
8,384,16,grid
8,384,96,grid
8,384,128,grid
8,384,129,grid
8,384,256,grid
8,384,512,grid
8,384,768,grid
8,384,1024,grid
8,384,1536,grid
8,384,4096,grid
8,477,2361,random
8,512,4,grid
8,512,8,grid
8,512,64,wide_output
8,512,128,grid
8,512,129,grid
8,512,384,grid
8,512,512,grid
8,512,1024,grid
8,513,8,fat
8,513,64,wide_output
8,520,8,fat
8,520,64,wide_output
8,545,8,fat
8,545,64,wide_output
8,576,8,fat
8,576,64,wide_output
8,608,8,fat
8,608,64,wide_output
8,639,8,fat
8,639,64,wide_output
8,712,130,random
8,768,4,grid
8,768,8,grid
8,768,64,grid
8,768,96,grid
8,768,192,grid
8,768,256,grid
8,768,257,grid
8,768,384,grid
8,768,512,grid
8,768,1536,grid
8,1024,2,grid
8,1024,8,fat
8,1024,32,grid
8,1024,64,wide_output
8,1024,96,grid
8,1024,127,grid
8,1024,192,grid
8,1024,4096,grid
8,1025,8,fat
8,1025,64,wide_output
8,1032,8,fat
8,1032,64,wide_output
8,1057,8,fat
8,1057,64,wide_output
8,1086,4,random
8,1088,8,fat
8,1088,64,wide_output
8,1120,8,fat
8,1120,64,wide_output
8,1151,8,fat
8,1151,64,wide_output
8,1451,32,random
8,1536,2,grid
8,1536,4,grid
8,1536,64,grid
8,1536,768,grid
8,1536,1536,grid
8,1536,2048,grid
8,2048,2,grid
8,2048,8,fat
8,2048,32,grid
8,2048,64,wide_output
8,2048,128,grid
8,2048,129,grid
8,2048,192,grid
8,2048,257,grid
8,2048,384,grid
8,2048,1536,grid
8,2048,2048,grid
8,2049,8,fat
8,2049,64,wide_output
8,2056,8,fat
8,2056,64,wide_output
8,2081,8,fat
8,2081,64,wide_output
8,2112,8,fat
8,2112,64,wide_output
8,2144,8,fat
8,2144,64,wide_output
8,2175,8,fat
8,2175,64,wide_output
8,3960,27,random
8,4096,2,grid
8,4096,8,grid
8,4096,64,grid
8,4096,127,grid
8,4096,257,grid
8,4096,384,grid
8,4096,1024,grid
8,4096,1536,grid
8,4096,2048,grid
8,4096,4096,grid
8,4097,8,fat
8,4097,64,wide_output
8,4104,8,fat
8,4104,64,wide_output
8,4129,8,fat
8,4129,64,wide_output
8,4157,5867,random
8,4160,8,fat
8,4160,64,wide_output
8,4192,8,fat
8,4192,64,wide_output
8,4223,8,fat
8,4223,64,wide_output
8,4294,31,random
8,8192,8,fat
8,8192,64,wide_output
8,8193,8,fat
8,8193,64,wide_output
8,8200,8,fat
8,8200,64,wide_output
8,8225,8,fat
8,8225,64,wide_output
8,8256,8,fat
8,8256,64,wide_output
8,8288,8,fat
8,8288,64,wide_output
8,8319,8,fat
8,8319,64,wide_output
9,1,3,random
9,1,1432,random
9,2,3,random
9,3,99,random
9,7,2,random
9,7,15,random
9,8,2737,random
9,13,5,random
9,13,38,random
9,13,760,random
9,16,1684,random
9,21,300,random
9,78,233,random
9,155,2805,random
9,163,976,random
9,312,30,random
9,617,3191,random
9,729,3,random
9,1342,1026,random
9,1973,1451,random
9,2626,8059,random
9,3089,12,random
9,3479,2000,random
9,3983,4,random
9,5370,24,random
9,6115,1390,random
10,2,2318,random
10,4,116,random
10,6,110,random
10,7,340,random
10,11,5,random
10,13,5,random
10,22,614,random
10,72,8,random
10,79,70,random
10,100,38,random
10,115,189,random
10,126,85,random
10,217,54,random
10,425,16,random
10,627,240,random
10,952,3711,random
10,991,27,random
10,1279,1,random
10,1509,141,random
10,1762,5,random
10,2823,1064,random
10,3632,7015,random
10,4230,1657,random
10,6038,20,random
11,1,4,random
11,7,4848,random
11,8,3,random
11,13,48,random
11,19,3019,random
11,28,14,random
11,68,1129,random
11,75,1412,random
11,78,3781,random
11,84,34,random
11,102,525,random
11,120,757,random
11,203,54,random
11,267,9,random
11,343,2,random
11,391,772,random
11,487,61,random
11,1182,306,random
11,1348,3976,random
11,1357,320,random
12,2,1,random
12,4,2754,random
12,20,29,random
12,25,619,random
12,32,22,random
12,153,493,random
12,512,269,random
12,4973,28,random
12,6664,242,random
13,3,6,random
13,3,64,random
13,4,1934,random
13,10,38,random
13,25,5077,random
13,38,1,random
13,73,130,random
13,360,222,random
13,903,3601,random
13,907,263,random
13,1056,1813,random
13,1115,979,random
13,1326,15,random
13,7677,9,random
14,4,8,random
14,6,5,random
14,6,366,random
14,19,661,random
14,22,2,random
14,31,810,random
14,35,140,random
14,44,2,random
14,53,5607,random
14,74,9,random
14,274,271,random
14,484,6,random
14,501,49,random
14,2950,22,random
14,4649,5618,random
15,2,6152,random
15,6,9,random
15,6,14,random
15,48,785,random
15,115,31,random
15,748,12,random
15,2377,50,random
15,4159,924,random
16,1,1,grid
16,1,2,grid
16,1,4,grid
16,1,8,grid
16,1,64,grid
16,1,128,grid
16,1,129,grid
16,1,192,grid
16,1,257,grid
16,1,1536,grid
16,2,1,grid
16,2,2,grid
16,2,3,random
16,2,4,grid
16,2,8,grid
16,2,32,grid
16,2,192,grid
16,2,1024,grid
16,2,1536,grid
16,2,2048,grid
16,2,4096,grid
16,3,46,random
16,4,2,grid
16,4,8,grid
16,4,16,grid
16,4,32,grid
16,4,127,grid
16,4,128,grid
16,4,180,random
16,4,192,grid
16,4,384,grid
16,4,512,grid
16,4,1024,grid
16,5,1776,random
16,8,16,grid
16,8,32,grid
16,8,96,grid
16,8,129,grid
16,8,192,grid
16,8,257,grid
16,8,512,grid
16,8,768,grid
16,8,1536,grid
16,8,4096,grid
16,16,1,grid
16,16,4,grid
16,16,8,grid
16,16,16,grid
16,16,64,grid
16,16,129,grid
16,16,256,deepK
16,16,257,deepK
16,16,264,deepK
16,16,289,deepK
16,16,320,deepK
16,16,352,deepK
16,16,383,deepK
16,16,384,grid
16,16,512,grid
16,16,513,deepK
16,16,520,deepK
16,16,545,deepK
16,16,576,deepK
16,16,608,deepK
16,16,639,deepK
16,16,768,grid
16,16,1024,deepK
16,16,1025,deepK
16,16,1032,deepK
16,16,1057,deepK
16,16,1088,deepK
16,16,1120,deepK
16,16,1151,deepK
16,16,1536,grid
16,16,2048,deepK
16,16,2049,deepK
16,16,2056,deepK
16,16,2081,deepK
16,16,2112,deepK
16,16,2144,deepK
16,16,2175,deepK
16,16,4096,deepK
16,16,4097,deepK
16,16,4104,deepK
16,16,4129,deepK
16,16,4160,deepK
16,16,4192,deepK
16,16,4223,deepK
16,16,8192,deepK
16,16,8193,deepK
16,16,8200,deepK
16,16,8225,deepK
16,16,8256,deepK
16,16,8288,deepK
16,16,8319,deepK
16,21,119,random
16,32,2,grid
16,32,4,grid
16,32,8,grid
16,32,32,grid
16,32,96,grid
16,32,127,grid
16,32,129,grid
16,32,256,grid
16,32,1024,grid
16,32,2048,grid
16,64,4,grid
16,64,8,grid
16,64,32,grid
16,64,64,grid
16,64,128,grid
16,64,192,grid
16,64,256,grid
16,64,257,grid
16,64,384,grid
16,64,768,grid
16,64,1536,grid
16,64,2048,grid
16,96,4,grid
16,96,8,grid
16,96,32,grid
16,96,96,grid
16,96,127,grid
16,96,129,grid
16,96,192,grid
16,96,257,grid
16,96,384,grid
16,96,512,grid
16,96,768,grid
16,96,1536,grid
16,96,2048,grid
16,127,16,grid
16,127,64,grid
16,127,96,grid
16,127,127,grid
16,127,129,grid
16,127,192,grid
16,127,257,grid
16,127,768,grid
16,127,1536,grid
16,128,4,grid
16,128,8,grid
16,128,32,grid
16,128,256,grid
16,128,384,grid
16,128,1536,grid
16,128,2048,grid
16,128,4096,grid
16,129,2,grid
16,129,32,grid
16,129,64,grid
16,129,128,grid
16,129,129,grid
16,129,256,grid
16,129,257,grid
16,129,384,grid
16,129,768,grid
16,129,1024,grid
16,192,2,grid
16,192,8,grid
16,192,16,grid
16,192,64,grid
16,192,128,grid
16,192,129,grid
16,192,192,grid
16,192,257,grid
16,192,384,grid
16,192,768,grid
16,192,1024,grid
16,192,1536,grid
16,256,1,grid
16,256,4,grid
16,256,16,fat
16,256,32,grid
16,256,64,wide_output
16,256,127,grid
16,256,256,grid
16,256,384,grid
16,256,768,grid
16,256,4096,grid
16,257,2,grid
16,257,4,grid
16,257,8,grid
16,257,16,grid
16,257,32,grid
16,257,64,grid
16,257,128,grid
16,257,192,grid
16,257,257,grid
16,257,384,grid
16,257,512,grid
16,257,768,grid
16,257,1024,grid
16,264,16,fat
16,264,64,wide_output
16,289,16,fat
16,289,64,wide_output
16,320,16,fat
16,320,64,wide_output
16,352,16,fat
16,352,64,wide_output
16,383,16,fat
16,383,64,wide_output
16,384,4,grid
16,384,16,grid
16,384,32,grid
16,384,127,grid
16,384,129,grid
16,384,257,grid
16,384,384,grid
16,384,512,grid
16,512,1,grid
16,512,2,grid
16,512,4,grid
16,512,8,grid
16,512,16,fat
16,512,64,wide_output
16,512,128,grid
16,512,256,grid
16,512,768,grid
16,512,4096,grid
16,513,16,fat
16,513,64,wide_output
16,520,16,fat
16,520,64,wide_output
16,545,16,fat
16,545,64,wide_output
16,576,16,fat
16,576,64,wide_output
16,581,5227,random
16,608,16,fat
16,608,64,wide_output
16,639,16,fat
16,639,64,wide_output
16,768,1,grid
16,768,2,grid
16,768,4,grid
16,768,8,grid
16,768,64,grid
16,768,96,grid
16,768,127,grid
16,768,129,grid
16,768,257,grid
16,768,384,grid
16,768,768,grid
16,768,1024,grid
16,768,1536,grid
16,768,2048,grid
16,768,4096,grid
16,1024,1,grid
16,1024,2,grid
16,1024,8,grid
16,1024,16,fat
16,1024,32,grid
16,1024,64,grid
16,1024,127,grid
16,1024,128,grid
16,1024,129,grid
16,1024,192,grid
16,1024,384,grid
16,1024,512,grid
16,1024,1024,grid
16,1024,1536,grid
16,1024,4096,grid
16,1025,16,fat
16,1025,64,wide_output
16,1032,16,fat
16,1032,64,wide_output
16,1057,16,fat
16,1057,64,wide_output
16,1088,16,fat
16,1088,64,wide_output
16,1120,16,fat
16,1120,64,wide_output
16,1151,16,fat
16,1151,64,wide_output
16,1536,2,grid
16,1536,4,grid
16,1536,16,grid
16,1536,96,grid
16,1536,127,grid
16,1536,256,grid
16,1536,257,grid
16,1536,384,grid
16,1536,512,grid
16,1536,1024,grid
16,1536,1536,grid
16,2048,16,fat
16,2048,32,grid
16,2048,64,grid
16,2048,127,grid
16,2048,129,grid
16,2048,256,grid
16,2048,257,grid
16,2048,512,grid
16,2048,768,grid
16,2048,1536,grid
16,2048,4096,grid
16,2049,16,fat
16,2049,64,wide_output
16,2056,16,fat
16,2056,64,wide_output
16,2081,16,fat
16,2081,64,wide_output
16,2112,16,fat
16,2112,64,wide_output
16,2144,16,fat
16,2144,64,wide_output
16,2175,16,fat
16,2175,64,wide_output
16,2237,2407,random
16,3300,2173,random
16,3343,143,random
16,4096,2,grid
16,4096,4,grid
16,4096,8,grid
16,4096,16,fat
16,4096,32,grid
16,4096,64,grid
16,4096,192,grid
16,4096,384,grid
16,4096,1024,grid
16,4096,1536,grid
16,4096,2048,grid
16,4097,16,fat
16,4097,64,wide_output
16,4104,16,fat
16,4104,64,wide_output
16,4129,16,fat
16,4129,64,wide_output
16,4160,16,fat
16,4160,64,wide_output
16,4192,16,fat
16,4192,64,wide_output
16,4223,16,fat
16,4223,64,wide_output
16,8192,16,fat
16,8192,64,wide_output
16,8193,16,fat
16,8193,64,wide_output
16,8200,16,fat
16,8200,64,wide_output
16,8225,16,fat
16,8225,64,wide_output
16,8256,16,fat
16,8256,64,wide_output
16,8288,16,fat
16,8288,64,wide_output
16,8319,16,fat
16,8319,64,wide_output
17,3,1110,random
17,7,641,random
17,9,900,random
17,10,13,random
17,32,38,random
17,33,2,random
17,417,1367,random
17,433,4572,random
17,1358,5,random
17,2416,97,random
18,2,17,random
18,4,941,random
18,6,14,random
18,14,1484,random
18,7179,2,random
19,1,1,random
19,6170,4150,random
20,2,108,random
20,3,5858,random
20,4,14,random
20,5,45,random
20,312,34,random
20,320,122,random
20,525,3712,random
20,789,18,random
20,841,1,random
20,1647,27,random
20,1940,1628,random
20,2824,277,random
20,3204,2,random
20,3847,4204,random
21,2,13,random
21,3,2850,random
21,7,10,random
21,592,2336,random
21,1680,11,random
21,3066,6,random
22,2,176,random
22,4,6582,random
22,12,4,random
22,18,9,random
22,46,78,random
22,75,547,random
22,1322,14,random
22,2375,756,random
22,5670,3,random
22,7842,252,random
23,1,6500,random
23,3,251,random
23,5,94,random
23,8,2635,random
23,12,128,random
23,70,55,random
23,2611,209,random
24,24,97,random
24,26,25,random
24,29,1,random
24,39,725,random
24,59,1827,random
24,62,297,random
24,190,1150,random
24,402,699,random
24,3855,3311,random
25,16,2,random
25,32,3,random
25,52,52,random
25,129,734,random
25,756,38,random
25,756,2518,random
25,1897,10,random
25,3383,913,random
25,4879,5,random
26,31,348,random
26,205,1525,random
26,281,18,random
26,1494,6,random
26,2818,2403,random
26,5198,158,random
27,1,1484,random
27,2,81,random
27,1036,373,random
28,1,233,random
28,7,113,random
28,44,3757,random
28,5171,2,random
28,7383,10,random
29,10,20,random
29,136,1242,random
29,289,4,random
29,417,64,random
29,1389,6,random
29,6514,316,random
30,4,140,random
30,15,10,random
30,163,21,random
31,1,6341,random
31,127,2,random
31,334,955,random
32,1,32,grid
32,1,256,grid
32,1,257,grid
32,1,1536,grid
32,1,4096,grid
32,2,1,random
32,2,2,grid
32,2,4,grid
32,2,64,grid
32,2,96,grid
32,2,128,grid
32,2,129,grid
32,2,1536,grid
32,2,2048,grid
32,3,600,random
32,4,2,grid
32,4,4,grid
32,4,127,grid
32,4,128,grid
32,4,256,grid
32,4,512,grid
32,4,1024,grid
32,4,2048,grid
32,8,4,grid
32,8,8,grid
32,8,127,grid
32,8,128,grid
32,8,129,grid
32,8,192,grid
32,8,257,grid
32,8,768,grid
32,8,1024,grid
32,8,2048,grid
32,8,4096,grid
32,11,23,random
32,16,1,grid
32,16,4,grid
32,16,8,grid
32,16,16,grid
32,16,32,grid
32,16,96,grid
32,16,128,grid
32,16,192,grid
32,16,256,grid
32,16,257,grid
32,16,384,grid
32,16,512,grid
32,16,1024,grid
32,16,4096,grid
32,32,4,grid
32,32,64,grid
32,32,127,grid
32,32,128,grid
32,32,129,grid
32,32,192,grid
32,32,256,grid
32,32,257,grid
32,32,512,grid
32,32,768,grid
32,32,1536,grid
32,32,2048,grid
32,64,2,grid
32,64,8,grid
32,64,64,grid
32,64,96,grid
32,64,129,grid
32,64,256,grid
32,64,257,grid
32,64,384,grid
32,64,512,grid
32,64,1536,grid
32,64,2048,grid
32,64,4096,grid
32,65,212,random
32,96,1,grid
32,96,2,grid
32,96,4,grid
32,96,16,grid
32,96,32,grid
32,96,64,grid
32,96,96,grid
32,96,127,grid
32,96,128,grid
32,96,129,grid
32,96,257,grid
32,96,384,grid
32,96,768,grid
32,96,1024,grid
32,96,4096,grid
32,127,2,grid
32,127,4,grid
32,127,8,grid
32,127,64,grid
32,127,128,grid
32,127,512,grid
32,127,768,grid
32,127,1024,grid
32,127,2048,grid
32,127,4096,grid
32,128,4,grid
32,128,96,grid
32,128,128,grid
32,128,256,grid
32,128,257,grid
32,128,768,grid
32,128,1536,grid
32,129,8,grid
32,129,32,grid
32,129,96,grid
32,129,127,grid
32,129,129,grid
32,129,192,grid
32,129,256,grid
32,129,768,grid
32,129,2048,grid
32,129,4096,grid
32,192,1,grid
32,192,2,grid
32,192,4,grid
32,192,96,grid
32,192,256,grid
32,192,1024,grid
32,256,1,grid
32,256,2,grid
32,256,32,grid
32,256,96,grid
32,256,128,grid
32,256,256,grid
32,256,257,grid
32,256,384,grid
32,256,512,grid
32,256,768,grid
32,257,4,grid
32,257,8,grid
32,257,16,grid
32,257,64,grid
32,257,127,grid
32,257,129,grid
32,257,512,grid
32,257,1024,grid
32,257,1536,grid
32,257,2048,grid
32,257,4096,grid
32,384,2,grid
32,384,129,grid
32,384,192,grid
32,384,384,grid
32,384,2048,grid
32,512,1,grid
32,512,8,grid
32,512,64,grid
32,512,96,grid
32,512,128,grid
32,512,257,grid
32,512,384,grid
32,512,512,grid
32,512,1024,grid
32,512,2048,grid
32,512,4096,grid
32,768,1,grid
32,768,2,grid
32,768,4,grid
32,768,8,grid
32,768,16,grid
32,768,127,grid
32,768,128,grid
32,768,129,grid
32,768,256,grid
32,768,257,grid
32,768,512,grid
32,768,1536,grid
32,1024,2,grid
32,1024,4,grid
32,1024,32,grid
32,1024,64,grid
32,1024,128,grid
32,1024,192,grid
32,1024,256,grid
32,1024,384,grid
32,1024,512,grid
32,1024,2048,grid
32,1093,83,random
32,1536,2,grid
32,1536,4,grid
32,1536,32,grid
32,1536,127,grid
32,1536,128,grid
32,1536,192,grid
32,1536,2048,grid
32,2048,32,grid
32,2048,64,grid
32,2048,127,grid
32,2048,256,grid
32,2048,257,grid
32,2048,768,grid
32,2048,2048,grid
32,4096,2,grid
32,4096,8,grid
32,4096,96,grid
32,4096,127,grid
32,4096,128,grid
32,4096,129,grid
32,4096,192,grid
32,4096,257,grid
32,4096,384,grid
32,4096,2048,grid
33,42,352,random
33,1083,281,random
33,1437,33,random
33,2782,1,random
34,3,3098,random
34,4,19,random
34,4,48,random
34,28,14,random
35,14,3,random
35,90,26,random
35,124,3202,random
35,335,36,random
35,940,12,random
35,4528,62,random
35,6047,44,random
35,6584,99,random
36,2,22,random
36,3,10,random
36,4034,60,random
37,2,2394,random
37,12,769,random
37,21,38,random
37,24,4,random
37,997,7695,random
37,1546,815,random
38,48,34,random
38,558,43,random
38,800,112,random
39,2973,139,random
40,43,707,random
41,1,1381,random
41,6,34,random
41,20,11,random
41,22,36,random
41,248,33,random
41,253,1402,random
41,304,38,random
41,3970,1,random
42,2,31,random
42,2,1067,random
42,2,3597,random
42,14,108,random
42,20,47,random
42,20,215,random
42,68,34,random
42,102,293,random
42,121,40,random
43,2,4,random
43,11,80,random
43,1242,2,random
43,2868,4929,random
44,34,1,random
44,919,17,random
44,2544,35,random
44,2642,11,random
45,4,4121,random
45,3214,125,random
46,9,275,random
46,38,38,random
46,65,10,random
47,15,751,random
48,66,1516,random
49,4,219,random
49,35,323,random
49,58,82,random
49,6178,623,random
50,5,617,random
50,151,13,random
50,264,137,random
50,2268,1,random
51,70,8,random
51,3764,20,random
52,53,2,random
53,2,47,random
53,2,874,random
53,13,387,random
53,19,101,random
53,73,14,random
53,489,24,random
53,524,4,random
53,692,375,random
53,6190,166,random
54,232,125,random
54,587,451,random
56,22,9,random
56,58,1108,random
57,2,18,random
57,6,348,random
57,816,58,random
58,32,329,random
59,193,10,random
59,4648,4,random
60,21,43,random
60,5396,247,random
61,1,7,random
61,147,2577,random
61,285,31,random
61,351,2,random
62,4,20,random
62,165,4192,random
63,1,24,random
63,2,2,random
64,1,2,grid
64,1,32,grid
64,1,127,grid
64,1,128,grid
64,1,192,grid
64,1,512,grid
64,1,1024,grid
64,1,2048,grid
64,1,4096,grid
64,2,1,grid
64,2,8,grid
64,2,16,grid
64,2,127,grid
64,2,192,grid
64,2,352,random
64,2,384,grid
64,2,768,grid
64,2,1024,grid
64,2,1536,grid
64,2,4096,grid
64,4,1,grid
64,4,4,grid
64,4,8,grid
64,4,16,grid
64,4,64,grid
64,4,256,grid
64,4,257,grid
64,4,384,grid
64,4,1024,grid
64,4,1536,grid
64,4,4096,grid
64,8,32,grid
64,8,96,grid
64,8,128,grid
64,8,384,grid
64,8,512,grid
64,8,768,grid
64,8,1024,grid
64,8,1536,grid
64,8,2048,grid
64,8,4096,grid
64,16,1,grid
64,16,8,grid
64,16,16,grid
64,16,127,grid
64,16,128,grid
64,16,256,grid
64,16,257,grid
64,16,384,grid
64,16,512,grid
64,16,2048,grid
64,16,4096,grid
64,32,2,grid
64,32,64,grid
64,32,127,grid
64,32,128,grid
64,32,129,grid
64,32,192,grid
64,32,384,grid
64,32,512,grid
64,32,1024,grid
64,32,1536,grid
64,32,4096,grid
64,64,1,grid
64,64,2,grid
64,64,4,grid
64,64,16,grid
64,64,32,grid
64,64,127,grid
64,64,129,grid
64,64,192,grid
64,64,256,grid
64,64,257,deepK
64,64,264,deepK
64,64,289,deepK
64,64,320,deepK
64,64,352,deepK
64,64,383,deepK
64,64,512,deepK
64,64,513,deepK
64,64,520,deepK
64,64,545,deepK
64,64,576,deepK
64,64,608,deepK
64,64,639,deepK
64,64,1024,deepK
64,64,1025,deepK
64,64,1032,deepK
64,64,1057,deepK
64,64,1088,deepK
64,64,1120,deepK
64,64,1151,deepK
64,64,2048,deepK
64,64,2049,deepK
64,64,2056,deepK
64,64,2081,deepK
64,64,2112,deepK
64,64,2144,deepK
64,64,2175,deepK
64,64,4096,grid
64,64,4097,deepK
64,64,4104,deepK
64,64,4129,deepK
64,64,4160,deepK
64,64,4192,deepK
64,64,4223,deepK
64,64,8192,deepK
64,64,8193,deepK
64,64,8200,deepK
64,64,8225,deepK
64,64,8256,deepK
64,64,8288,deepK
64,64,8319,deepK
64,96,4,grid
64,96,64,grid
64,96,129,grid
64,96,256,grid
64,96,384,grid
64,96,512,grid
64,96,768,grid
64,96,1024,grid
64,96,1536,grid
64,127,1,grid
64,127,16,grid
64,127,32,grid
64,127,64,grid
64,127,192,grid
64,127,384,grid
64,127,768,grid
64,127,1024,grid
64,127,2048,grid
64,127,4096,grid
64,128,2,grid
64,128,4,grid
64,128,32,grid
64,128,64,grid
64,128,96,grid
64,128,128,grid
64,128,129,grid
64,128,192,grid
64,128,257,grid
64,128,512,grid
64,128,768,grid
64,128,1536,grid
64,128,4096,grid
64,129,4,grid
64,129,8,grid
64,129,32,grid
64,129,64,grid
64,129,127,grid
64,129,256,grid
64,129,257,grid
64,129,384,grid
64,129,1024,grid
64,129,4096,grid
64,192,4,grid
64,192,8,grid
64,192,16,grid
64,192,32,grid
64,192,129,grid
64,192,192,grid
64,192,257,grid
64,192,512,grid
64,192,768,grid
64,192,1024,grid
64,192,2048,grid
64,192,4096,grid
64,256,1,grid
64,256,2,grid
64,256,16,grid
64,256,64,grid
64,256,96,grid
64,256,127,grid
64,256,129,grid
64,256,256,grid
64,256,257,grid
64,256,512,grid
64,256,1024,grid
64,256,1536,grid
64,256,2048,grid
64,257,1,grid
64,257,64,fat
64,257,96,grid
64,257,127,grid
64,257,128,grid
64,257,192,grid
64,257,257,grid
64,257,1536,grid
64,257,2048,grid
64,264,64,fat
64,289,64,fat
64,320,64,fat
64,352,64,fat
64,383,64,fat
64,384,8,grid
64,384,32,grid
64,384,192,grid
64,384,257,grid
64,384,512,grid
64,384,768,grid
64,384,1024,grid
64,384,1536,grid
64,384,2048,grid
64,384,4096,grid
64,512,1,grid
64,512,32,grid
64,512,64,fat
64,512,96,grid
64,512,192,grid
64,512,1024,grid
64,512,1536,grid
64,512,2048,grid
64,513,64,fat
64,520,64,fat
64,545,64,fat
64,576,64,fat
64,608,64,fat
64,639,64,fat
64,685,2,random
64,768,8,grid
64,768,16,grid
64,768,32,grid
64,768,64,grid
64,768,96,grid
64,768,127,grid
64,768,128,grid
64,768,129,grid
64,768,257,grid
64,768,1536,grid
64,1024,1,grid
64,1024,2,grid
64,1024,8,grid
64,1024,32,grid
64,1024,64,grid
64,1024,127,grid
64,1024,128,grid
64,1024,129,grid
64,1024,256,grid
64,1024,257,grid
64,1024,512,grid
64,1024,768,grid
64,1024,1536,grid
64,1024,2048,grid
64,1024,4096,grid
64,1025,64,fat
64,1032,64,fat
64,1057,64,fat
64,1088,64,fat
64,1120,64,fat
64,1151,64,fat
64,1536,2,grid
64,1536,8,grid
64,1536,32,grid
64,1536,96,grid
64,1536,127,grid
64,1536,128,grid
64,1536,129,grid
64,1536,192,grid
64,1536,257,grid
64,1536,384,grid
64,1536,512,grid
64,1536,768,grid
64,1536,1024,grid
64,1536,1536,grid
64,1536,2048,grid
64,2048,1,grid
64,2048,2,grid
64,2048,4,grid
64,2048,16,grid
64,2048,32,grid
64,2048,64,grid
64,2048,96,grid
64,2048,256,grid
64,2048,384,grid
64,2048,768,grid
64,2048,1536,grid
64,2049,64,fat
64,2056,64,fat
64,2081,64,fat
64,2112,64,fat
64,2144,64,fat
64,2175,64,fat
64,4096,1,grid
64,4096,2,grid
64,4096,32,grid
64,4096,64,grid
64,4096,257,grid
64,4096,384,grid
64,4096,1024,grid
64,4096,1536,grid
64,4097,64,fat
64,4104,64,fat
64,4129,64,fat
64,4160,64,fat
64,4192,64,fat
64,4223,64,fat
64,8192,64,fat
64,8193,64,fat
64,8200,64,fat
64,8225,64,fat
64,8256,64,fat
64,8288,64,fat
64,8319,64,fat
65,105,3540,random
65,312,78,random
65,2692,3,random
66,1768,3,random
67,73,2,random
67,1466,2656,random
67,5386,53,random
69,2,27,random
69,645,3,random
70,1,3610,random
70,2,50,random
70,232,1868,random
70,370,29,random
70,3001,1,random
70,4635,2,random
70,5233,1309,random
71,42,73,random
71,110,1,random
71,2177,769,random
72,38,7,random
72,1217,564,random
72,1952,6613,random
73,20,930,random
73,22,50,random
74,814,782,random
74,2434,10,random
75,18,714,random
75,746,1827,random
76,46,2,random
76,3113,1667,random
76,3359,671,random
76,4564,1,random
76,5067,1595,random
77,7,444,random
79,1,18,random
79,125,2,random
80,14,4779,random
80,292,2028,random
80,1086,4083,random
80,3359,4981,random
81,2,8,random
81,157,905,random
82,55,242,random
82,78,3,random
83,503,4409,random
83,569,7,random
84,2391,641,random
85,9,2568,random
85,378,109,random
85,1476,5140,random
87,2,2,random
87,5077,98,random
88,2,2,random
89,36,7929,random
89,419,6,random
90,8,2264,random
91,45,146,random
92,80,17,random
92,494,3,random
92,495,44,random
92,2986,130,random
93,4497,22,random
94,393,11,random
95,198,4796,random
95,3360,93,random
96,1,8,grid
96,1,16,grid
96,1,96,grid
96,1,127,grid
96,1,129,grid
96,1,192,grid
96,1,256,grid
96,1,257,grid
96,1,384,grid
96,1,1024,grid
96,1,4096,grid
96,2,1,grid
96,2,2,grid
96,2,4,grid
96,2,16,grid
96,2,32,grid
96,2,96,grid
96,2,129,grid
96,2,192,grid
96,2,256,grid
96,2,384,grid
96,2,512,grid
96,2,768,grid
96,2,1536,grid
96,3,130,random
96,4,1,grid
96,4,16,grid
96,4,64,grid
96,4,256,grid
96,4,512,grid
96,4,1536,grid
96,4,4096,grid
96,8,4,grid
96,8,16,grid
96,8,32,grid
96,8,192,grid
96,8,384,grid
96,8,1536,grid
96,8,2048,grid
96,8,4096,grid
96,16,1,grid
96,16,4,grid
96,16,16,grid
96,16,32,grid
96,16,127,grid
96,16,192,grid
96,16,257,grid
96,16,512,grid
96,16,768,grid
96,32,2,grid
96,32,96,grid
96,32,192,grid
96,32,256,grid
96,32,257,grid
96,32,1024,grid
96,32,1536,grid
96,61,76,random
96,64,1,grid
96,64,4,grid
96,64,96,grid
96,64,192,grid
96,64,256,grid
96,64,257,grid
96,64,384,grid
96,64,512,grid
96,64,2048,grid
96,96,8,grid
96,96,16,grid
96,96,64,grid
96,96,96,grid
96,96,128,grid
96,96,129,grid
96,96,256,grid
96,96,257,grid
96,96,384,grid
96,96,768,grid
96,96,1024,grid
96,96,2048,grid
96,96,4096,grid
96,127,4,grid
96,127,32,grid
96,127,127,grid
96,127,128,grid
96,127,129,grid
96,127,192,grid
96,127,256,grid
96,127,257,grid
96,127,512,grid
96,127,1536,grid
96,127,2048,grid
96,127,4096,grid
96,128,2,grid
96,128,4,grid
96,128,16,grid
96,128,32,grid
96,128,64,grid
96,128,96,grid
96,128,127,grid
